Date,Open,High,Low,Close,Adj Close,Volume
2015-01-22,542.250000,550.500000,540.450012,548.924988,429.468689,337080
2015-01-23,550.000000,555.500000,541.687988,553.513000,433.058228,423648
2015-01-27,553.513000,554.000000,532.750000,534.000000,417.791595,450956
2015-01-28,536.638000,538.625000,533.250000,536.275024,419.571533,336052
2015-01-29,533.799988,537.338013,532.062012,535.724976,419.141205,632020
2015-01-30,538.000000,540.900024,531.599976,535.687988,419.112244,967412
2015-02-02,535.000000,537.799988,531.911987,533.588013,417.469269,257932
2015-02-03,535.000000,535.000000,525.763000,530.088013,414.730957,294284
2015-02-04,532.000000,537.375000,532.000000,535.513000,418.975403,218144
2015-02-05,536.000000,555.000000,536.000000,548.400024,429.057922,717092
2015-02-06,548.250000,561.687988,548.099976,557.338013,436.050873,485972
2015-02-09,557.338013,563.750000,551.599976,562.549988,440.128632,643628
2015-02-10,561.224976,574.349976,556.250000,570.075012,446.016022,566624
2015-02-11,568.750000,573.750000,564.562012,571.799988,447.365631,242252
2015-02-12,570.000000,580.713013,568.750000,578.862000,452.890808,319064
2015-02-13,577.750000,581.224976,571.737000,574.099976,449.165070,438924
2015-02-16,570.250000,576.463013,566.500000,569.625000,445.663940,342164
2015-02-18,571.000000,576.250000,565.275024,573.937988,449.038330,279536
2015-02-19,576.000000,583.474976,573.000000,581.650024,455.072144,343340
2015-02-20,581.000000,583.799988,569.250000,571.075012,446.798462,318868
2015-02-23,575.987000,577.750000,563.312012,567.674988,444.138336,303804
2015-02-24,569.013000,573.750000,564.500000,569.536987,445.595062,209004
2015-02-25,572.500000,583.000000,569.588013,579.513000,453.400146,647980
2015-02-26,578.724976,578.724976,562.500000,564.875000,441.947632,279380
2015-02-27,566.812012,570.213013,564.500000,566.588013,443.287903,202884
2015-02-28,null,null,null,null,null,null
2015-03-02,575.000000,577.000000,569.599976,572.862000,448.196533,154484
2015-03-03,572.750000,577.250000,569.862000,574.338013,449.351349,159124
2015-03-04,574.750000,578.375000,563.088013,568.150024,444.509979,285720
2015-03-05,567.099976,574.349976,559.000000,562.924988,440.422028,250636
2015-03-09,563.750000,564.000000,544.799988,547.638000,428.461731,485852
2015-03-10,550.000000,551.750000,540.825012,550.025024,430.329315,361360
2015-03-11,547.500000,560.000000,543.150024,545.900024,427.101959,508292
2015-03-12,546.224976,556.588013,544.375000,554.450012,433.791260,345048
2015-03-13,556.525024,557.200012,548.599976,554.112000,433.526886,222656
2015-03-16,552.500000,570.500000,552.500000,566.750000,443.414642,308668
2015-03-17,565.049988,569.625000,554.549988,560.487000,438.514526,339516
2015-03-18,562.500000,565.187988,555.000000,557.549988,436.216766,166284
2015-03-19,556.750000,561.036987,556.049988,557.474976,436.158020,2042832
2015-03-20,558.250000,567.375000,558.250000,564.737000,441.839691,314824
2015-03-23,563.000000,568.750000,556.713013,558.099976,436.647003,1441392
2015-03-24,557.500000,563.000000,551.562012,553.025024,432.676453,218904
2015-03-25,554.325012,556.924988,550.000000,554.424988,433.771729,292948
2015-03-26,553.000000,553.375000,532.500000,536.112000,419.444031,452640
2015-03-27,541.000000,556.250000,540.000000,550.487000,430.690796,323088
2015-03-30,553.500000,561.013000,548.862000,557.450012,436.138519,231928
2015-03-31,560.900024,568.000000,551.213013,554.150024,433.556671,306176
2015-04-01,552.349976,552.349976,540.000000,543.062012,424.881592,632492
2015-04-06,544.500000,546.250000,540.500000,544.299988,425.850159,232236
2015-04-07,545.000000,545.987000,535.450012,540.312012,422.730042,280228
2015-04-08,543.875000,551.713013,543.500000,550.200012,430.466187,159196
2015-04-09,552.500000,554.099976,546.750000,552.849976,432.539490,136140
2015-04-10,552.500000,559.750000,552.500000,558.325012,436.823059,185700
2015-04-13,558.750000,561.000000,554.400024,559.750000,437.937958,135516
2015-04-15,559.724976,560.724976,548.875000,553.299988,432.891571,176820
2015-04-16,553.750000,557.500000,539.062012,547.775024,428.568939,297960
2015-04-17,547.000000,548.750000,538.362000,545.487000,426.778870,130396
2015-04-20,545.250000,546.000000,529.312012,533.312012,417.253326,3215856
2015-04-21,534.500000,538.112000,529.950012,536.099976,419.434601,663064
2015-04-22,536.536987,543.750000,525.062012,534.612000,418.270416,316724
2015-04-23,536.325012,536.325012,528.125000,530.638000,415.161255,426100
2015-04-24,532.750000,537.500000,495.500000,499.062012,390.456818,6084388
2015-04-27,500.250000,502.500000,487.500000,496.500000,388.452332,1370688
2015-04-28,497.000000,497.000000,488.250000,490.337006,383.630524,980736
2015-04-29,491.250000,493.000000,484.638000,490.399994,383.679810,628316
2015-04-30,490.000000,490.037994,483.162994,485.600006,379.924377,1399832
2015-05-04,490.250000,499.750000,487.500000,498.575012,390.075775,416200
2015-05-05,500.000000,501.250000,488.750000,491.687988,384.687500,961820
2015-05-06,494.750000,495.000000,479.375000,480.625000,376.032013,1707676
2015-05-07,482.200012,491.750000,477.774994,485.700012,380.002594,512064
2015-05-08,490.975006,492.149994,486.450012,489.500000,382.975677,272568
2015-05-11,491.274994,500.000000,488.500000,498.000000,389.625854,485328
2015-05-12,499.725006,499.725006,485.312012,487.399994,381.332642,733656
2015-05-13,488.500000,491.250000,483.149994,488.987000,382.574341,6706668
2015-05-14,490.000000,490.000000,477.500000,483.638000,378.389313,530492
2015-05-15,483.774994,491.250000,483.750000,489.937988,383.318298,340672
2015-05-18,491.049988,499.500000,490.513000,497.937988,389.577362,468984
2015-05-19,497.250000,508.174988,496.100006,504.537994,394.741119,369580
2015-05-20,508.388000,512.750000,508.388000,511.174988,399.933746,272572
2015-05-21,512.250000,515.250000,508.750000,510.837006,399.669312,216492
2015-05-22,511.250000,512.349976,507.513000,510.450012,399.366547,689148
2015-05-25,512.500000,514.224976,501.750000,504.500000,394.711395,336528
